,Energy & Transportation,Manufacturing,Industrial Applications & Services,Financials,Life Sciences,Real Estate & Construction,Trade & Services,Technology,No Industry,None Industry
GNC,0,0,0,0,0,0,1,0,0,0
IHD,0,0,0,0,0,0,0,0,0,1
RSXJ,0,0,0,0,0,0,0,0,1,0
FLTR,0,0,0,0,0,0,0,0,1,0
GNMX,0,0,0,0,1,0,0,0,0,0
APTS,0,0,0,0,0,1,0,0,0,0
TBX,0,0,0,0,0,0,0,0,1,0
UJB,0,0,0,0,0,0,0,0,1,0
CBND,0,0,0,0,0,0,0,0,1,0
SPBO,0,0,0,0,0,0,0,0,1,0
HYMB,0,0,0,0,0,0,0,0,1,0
SDT,0,0,0,0,0,0,0,0,1,0
SQNS,0,1,0,0,0,0,0,0,0,0
STAG,0,0,0,0,0,1,0,0,0,0
ANDX,1,0,0,0,0,0,0,0,0,0
ARCO,0,0,0,0,0,0,1,0,0,0
GMLP,1,0,0,0,0,0,0,0,0,0
GSVC,0,0,0,0,0,0,0,0,0,1
SSSS,0,0,0,0,0,0,0,0,0,1
PFLT,0,0,0,0,0,0,0,0,0,1
STBZ,0,0,0,0,0,0,0,0,0,1
SVVC,0,0,0,0,0,0,0,0,1,0
VNET,0,0,0,0,0,0,0,1,0,0
XTN,0,0,0,0,0,0,0,0,1,0
ZX,0,1,0,0,0,0,0,0,0,0
RUSS,0,0,0,0,0,0,0,0,1,0
RUSL,0,0,0,0,0,0,0,0,1,0
FMK,0,0,0,0,0,0,0,0,1,0
SOIL,0,0,0,0,0,0,0,0,1,0
IOIL,0,0,0,0,0,0,0,0,1,0
HEQ,0,0,0,0,0,0,0,0,1,0
EMAG,0,0,0,0,0,0,0,0,1,0
NGL,0,0,0,0,0,0,1,0,0,0
NQ,0,0,0,0,0,0,0,1,0,0
LKM,0,0,0,0,0,0,0,1,0,0
NMFC,0,0,0,0,0,0,0,0,0,1
JSD,0,0,0,0,0,0,0,0,1,0
FENG,0,0,0,0,0,0,0,1,0,0
SPLV,0,0,0,0,0,0,0,0,1,0
SPHB,0,0,0,0,0,0,0,0,1,0
RLJ,0,0,0,0,0,1,0,0,0,0
ECOL,1,0,0,0,0,0,0,0,0,0
RENN,0,0,0,0,0,0,0,1,0,0
SR,1,0,0,0,0,0,0,0,0,0
THR,0,1,0,0,0,0,0,0,0,0
VOC,1,0,0,0,0,0,0,0,0,0
KOS,1,0,0,0,0,0,0,0,0,0
AMPE,0,0,0,0,1,0,0,0,0,0
ENT,0,0,0,0,0,0,0,1,0,0
RPXC,0,0,0,0,0,1,0,0,0,0
SAVE,1,0,0,0,0,0,0,0,0,0
WIFI,0,0,0,0,0,0,0,1,0,0
YNDX,0,0,0,0,0,0,0,1,0,0
CARZ,0,0,0,0,0,0,0,0,1,0
MITT,0,0,0,0,0,1,0,0,0,0
MATH,0,0,0,0,0,0,0,0,1,0
FWDB,0,0,0,0,0,0,0,0,1,0
FWDI,0,0,0,0,0,0,0,0,1,0
FWDD,0,0,0,0,0,0,0,0,1,0
EMO,0,0,0,1,0,0,0,0,0,0
LODE,1,0,0,0,0,0,0,0,0,0
DBEM,0,0,0,0,0,0,0,0,1,0
DBEF,0,0,0,0,0,0,0,0,1,0
DBBR,0,0,0,0,0,0,0,0,1,0
DBGR,0,0,0,0,0,0,0,0,1,0
DBJP,0,0,0,0,0,0,0,0,1,0
CURE,0,0,0,0,0,0,0,0,1,0
SDIV,0,0,0,0,0,0,0,0,1,0
ROOF,0,0,0,0,0,0,0,0,1,0
FLOT,0,0,0,0,0,0,0,0,1,0
CCLP,1,0,0,0,0,0,0,0,0,0
MPC,1,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,1,0,0
HYS,0,0,0,0,0,0,0,0,1,0
PXLG,0,0,0,0,0,0,0,0,1,0
SPGP,0,0,0,0,0,0,0,0,1,0
PXLV,0,0,0,0,0,0,0,0,1,0
SPVM,0,0,0,0,0,0,0,0,1,0
HCHC,0,1,0,0,0,0,0,0,0,0
AMCX,0,0,0,0,0,0,0,1,0,0
FBNK,0,0,0,1,0,0,0,0,0,0
FDUS,0,0,0,0,0,0,0,0,0,1
GRFS,0,0,0,0,1,0,0,0,0,0
THTX,0,0,0,0,1,0,0,0,0,0
QTRH,0,0,0,0,0,1,0,0,0,0
AMID,1,0,0,0,0,0,0,0,0,0
DPG,0,0,0,0,0,0,0,0,0,1
XMPT,0,0,0,0,0,0,0,0,1,0
HDG,0,0,0,0,0,0,0,0,1,0
SCHZ,0,0,0,0,0,0,0,0,1,0
SXC,0,1,0,0,0,0,0,0,0,0
SRCI,1,0,0,0,0,0,0,0,0,0
WAIR,0,0,0,0,0,0,1,0,0,0
BLRX,0,0,0,0,1,0,0,0,0,0
CHEF,0,0,0,0,0,0,1,0,0,0
DNKN,0,0,0,0,0,0,1,0,0,0
FRAN,0,0,0,0,0,0,1,0,0,0
HCOM,0,0,0,0,0,0,0,1,0,0
HZNP,0,0,0,0,1,0,0,0,0,0
IROQ,0,0,0,1,0,0,0,0,0,0
SKYY,0,0,0,0,0,0,0,0,1,0
ZG,0,0,0,0,0,0,0,1,0,0
INF,0,0,0,0,0,0,0,0,0,1
HILO,0,0,0,0,0,0,0,0,1,0
INCO,0,0,0,0,0,0,0,0,1,0
EEMS,0,0,0,0,0,0,0,0,1,0
